turn,prompt_tokens,completion_tokens,total_tokens,cum_tokens,latency_s,sl_reply_chars
1,16700,802,17502,17502,23.71,2058
2,17821,1492,19313,36815,34.87,3432
3,19653,1019,20672,57487,25.50,2498
4,20903,2355,23258,80745,46.88,5051
