turn,probe-formel,w10-schwelle,heldenwuerfel,sys-mechanik,psi-pp,lp-verletzung,hud-format,save-template,nullzeit-hub,px-progression,kampfrunde,fraktionen,kb-retrieval
1,0,0,0,4,0,3,0,0,2,3,0,0,0
2,0,0,0,18,0,0,0,0,0,1,0,0,0
